[2025-12-31 17:27:45.511] === PLACEMENT PERFORMANCE MONITOR STARTED ===
Timestamp: 2025-12-31 17:27:45
Log File: NewSleevePlacer_2025-12-31_17-27-45.log
Start Memory: 154.16 MB


[2025-12-31 17:27:46.732] [17:27:46.731] Place Sleeve Instance: 26ms, Memory: 0.00 KB, Items: 1

[2025-12-31 17:27:46.737] [17:27:46.736] Set Sleeve Parameters: 2ms, Memory: 32.00 KB, Items: 0

[2025-12-31 17:27:46.961] === PLACEMENT PERFORMANCE REPORT ===
Generated: 2025-12-31 17:27:46
Total Time: 1449ms (00:01)
Total Individual Sleeves: 21
Total Clusters: 0

=== MEMORY USAGE ===
Start: 154.16 MB
End: 154.93 MB
Delta: 0.77 MB
Memory per Item: 37.78 KB

=== OPERATION BREAKDOWN ===
Operation                                   Calls        Total        Avg        Min        Max      Items    Items/s
--------------------------------------------------------------------------------------------------------------
Place Sleeve Instance                          21          631ms      30.0ms        24ms        59ms         21        33/s
Calculate Sleeve Dimensions                    21          131ms       6.2ms         5ms        29ms         21       160/s
Set Sleeve Parameters                          21           45ms       2.1ms         2ms         4ms          0         0/s
Parallel Sleeve Placement Planning              1           25ms      25.0ms        25ms        25ms         21       840/s
Adjust Placement Point                         21            3ms       0.1ms         0ms         3ms         21      7000/s
Load Family Symbol                             22            2ms       0.1ms         0ms         2ms          1       500/s

=== PERFORMANCE TARGETS ===
Individual Sleeves/Second: 14 (target: 50+)
Status: ⚠️ BELOW TARGET

=== END OF REPORT ===

